zip,county,latitude,longitude,est_population
80653,Morgan County,40.35,-103.97,690
80654,Morgan County,40.23,-104.07,2450
80701,Morgan County,40.26,-103.79,15450
80705,Morgan County,40.27,-103.83,980
80720,Washington County,40.16,-103.21,2120
80721,Phillips County,40.68,-102.17,176
80722,Logan County,40.55,-103.27,360
80723,Morgan County,40.25,-103.63,6080
80726,Logan County,40.85,-102.8,330
80727,Yuma County,40.11,-102.48,350
80728,Logan County,40.68,-102.84,780
80729,Weld County,40.86,-104.22,350
80731,Phillips County,40.64,-102.62,1300
80732,Weld County,40.97,-104.3,63
80733,Morgan County,40.32,-103.52,520
80734,Phillips County,40.58,-102.3,2910
80735,Yuma County,39.7,-102.3,400
80736,Logan County,40.75,-103.06,630
80737,Sedgwick County,40.98,-102.26,1310
80740,Washington County,39.73,-103.4,99
80741,Logan County,40.48,-103.35,820
80742,Weld County,40.62,-103.78,200
80743,Washington County,40.14,-102.96,960
80744,Sedgwick County,40.87,-102.39,390
80745,Logan County,40.9,-103.39,127
80746,Phillips County,40.61,-102.47,46
80747,Logan County,40.96,-103.11,420
80749,Sedgwick County,40.93,-102.52,270
80750,Morgan County,40.41,-103.6,370
80751,Logan County,40.62,-103.19,12690
80754,Weld County,40.63,-103.65,128
80755,Yuma County,39.93,-102.28,151
80757,Washington County,39.98,-103.58,185
80758,Yuma County,40.07,-102.22,3520
80759,Yuma County,40.12,-102.72,4280
80801,Washington County,39.75,-103.22,167
80802,Cheyenne County,38.85,-102.17,230
80804,Lincoln County,39.28,-103.27,260
80805,Kit Carson County,39.3,-102.42,390
80807,Kit Carson County,39.3,-102.27,3930
80808,El Paso County,39.03,-104.29,5670
80809,El Paso County,38.9,-104.97,1370
80810,Cheyenne County,38.81,-102.35,950
80812,Washington County,39.67,-102.85,210
80813,Teller County,38.74,-105.17,1680
80814,Teller County,38.94,-105.16,3670
80815,Kit Carson County,39.29,-103.06,750
80816,Teller County,38.95,-105.29,4330
80817,El Paso County,38.66,-104.69,27300
80818,Lincoln County,39.27,-103.49,320
80819,El Paso County,38.93,-105.02,809
