LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-104.966463,39.711072,3,Alameda Ave & S Williams St,E,50,Denver,80209,SE,E Alameda Av,S Williams St,Alameda Ave & S Williams St (Stop No. 25549),,Denver County
-105.08164,39.681799,"76, 87L",S Wadsworth Blvd & W Jewell Ave,S,90,Lakewood,80227,SW,S Wadsworth Blvd,W Jewell Av,S Wadsworth Blvd & W Jewell Ave (Stop No. 17065),,Lakewood County
-105.081261,39.682605,"76, 87L",S Wadsworth Blvd & W Jewell Ave,N,90,Lakewood,80232,NE,S Wadsworth Blvd,W Jewell Av,S Wadsworth Blvd & W Jewell Ave (Stop No. 17067),,Lakewood County
-105.006257,39.795635,19,Pecos St & W 54th Pl,N,55,North Washington,80221,NE,Pecos St,W 54th Pl,Pecos St & W 54th Pl (Stop No. 15830),,North Washington County
-105.155943,39.75455,28,W 26th Ave & Eldridge St,W,15,Applewood,80401,NE,W 26th Av,Eldridge St,W 26th Ave & Eldridge St (Stop No. 10623),,Applewood County
-104.8950514,39.63323296,73,Tufts Ave & S DTC Blvd {1411},SW,455,Denver,80237, ,E Tufts Av,S Dtc Blvd,Tufts Ave & S DTC Blvd {1411} (Stop No. 18658),,Denver County
-104.848467,39.782439,42,47th Ave & Paris St,W,50,Denver,80239,NE,E 47th Av,Paris St,47th Ave & Paris St (Stop No. 11253),,Denver County
-104.8104535,39.69673671,130,Mississippi Ave & S Chambers Rd,W,90,Aurora,80012,NW,E Mississippi Av,S Chambers Rd,Mississippi Ave & S Chambers Rd (Stop No. 15329),,Aurora County
-105.116613,40.178527,326,Francis St & 11th Ave {1103},S,450,Longmont,80501,NW,Francis St,11th Ave,Francis St & 11th Ave {1103} (Stop No. 17538),,Longmont County
-105.111595,40.152234,"323, J, BOLT",Ken Pratt Blvd & S Bowen St {1103},E,75,Longmont,80501,SE,Ken Pratt Blvd,S Bowen St,Ken Pratt Blvd & S Bowen St {1103} (Stop No. 17573),,Longmont County
-104.936265,39.689625,46,S Birch St & Florida Ave,S,75,Denver,80222,NW,S Birch St,E Florida Av,S Birch St & Florida Ave (Stop No. 20468),,Denver County
-105.1609703,39.68096762,21,W Alameda Pkwy & W Jewell Ave {1304},S,75,Lakewood,80228,SW,Bear Creek Blvd,W Jewell Ave,W Alameda Pkwy & W Jewell Ave {1304} (Stop No. 20786),,Lakewood County
-104.95261,39.735169,10,12th Ave & Fillmore St,W,40,Denver,80206,NE,E 12th Ave,Fillmore St,12th Ave & Fillmore St (Stop No. 10167),,Denver County
-104.904667,39.677482,21,Evans Ave & S Quebec,SE,416,Denver,80224, ,E Evans Av,S Oneida St,Evans Ave & S Quebec (Stop No. 13624),,Denver County
-105.040994,39.679747,21,W Evans Ave & S Quitman St,E,75,Denver,80219,SE,W Evans Av,S Quitman St,W Evans Ave & S Quitman St (Stop No. 13625),,Denver County
-105.041587,39.679895,21,W Evans Ave & S Quitman St,W,75,Denver,80219,NW,W Evans Av,S Quitman St,W Evans Ave & S Quitman St (Stop No. 13626),,Denver County
