LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-105.0252785,39.72965375,"31, 30",Federal Blvd & W 8th Ave,S,60,Denver,80204,SW,Federal Blvd,W 8th Av,Federal Blvd & W 8th Ave (Stop No. 13768),,Denver County
-104.994238,39.759506,"120X, 38, FF, LX, LD",Park Ave West & Wewatta St,SE,100,Denver,80202,NW,Park Ave West,Wewatta St,Park Ave West & Wewatta St (Stop No. 23955),,Denver County
-104.95969,39.759724,24,York St & 30th Ave,N,75,Denver,80205,NE,York St,E 30th Ave,York St & 30th Ave (Stop No. 17398),,Denver County
-104.975069,39.772599,12,38th St & Brighton Blvd,SE,145,Denver,80216,SW,38th St,Brighton Blvd,38th St & Brighton Blvd (Stop No. 11069),,Denver County
-105.115058,39.718918,GS,3rd St & Main Ave {1304},NW,920,Denver,80225,,3rd St,W Main Ave,3rd St & Main Ave {1304} (Stop No. 11084),,Denver County
-105.045319,39.823765,72,W 70th Ave & Utica St,W,175,Westminster,80030,NW,W 70th Av,Utica St,W 70th Ave & Utica St (Stop No. 24293),,Westminster County
-105.081296,39.762454,76,Wadsworth Blvd & W 32nd Ave,N,75,Wheat Ridge,80033,NE,Wadsworth Blvd,W 32nd Av,Wadsworth Blvd & W 32nd Ave (Stop No. 16959),,Wheat Ridge County
-104.786135,39.623824,135,Smoky Hill Rd & S Richfield St,SE,65,Aurora,80015,SE,Smoky Hill Rd,S Richfield St,Smoky Hill Rd & S Richfield St (Stop No. 18294),,Aurora County
-104.839334,39.741303,20,16th Ave & Aurora Ct,E,75,Aurora,80010,SW,E 16th Ave,Aurora Ct,16th Ave & Aurora Ct (Stop No. 26214),,Aurora County
-105.058378,39.914034,120,W 120th Ave & Chase St {1104},E,175,Broomfield,80020,SW,W 120th Ave,Chase St,W 120th Ave & Chase St {1104} (Stop No. 26222),,Broomfield County
-104.913023,39.660809,65,S Monaco Pkwy & Carter Cir,S,106,Denver,80222,SW,S Monaco St,Carter Cir S,S Monaco Pkwy & Carter Cir (Stop No. 15522),,Denver County
-104.870056,39.674658,21,Iliff Ave & S Parker Rd,E,112,Aurora,80231,SE,E Iliff Av,Parker Rd,Iliff Ave & S Parker Rd (Stop No. 14541),,Aurora County
-104.940134,39.904349,"93L, 39L",Colorado Blvd & 115th Ave {1203},N,75,Thornton,80233,NE,Colorado Blvd,E 115th Ave,Colorado Blvd & 115th Ave {1203} (Stop No. 18875),,Thornton County
-105.0978145,39.80213272,52,W 58th Ave & Field St,W,75,Arvada,80004,NW,Ralston Rd,Field St,W 58th Ave & Field St (Stop No. 18727),,Arvada County
-105.100718,39.802094,"100, 52",W 58th Ave & Garrison St,W,133,Arvada,80004,NW,Ralston Rd,Garrison St,W 58th Ave & Garrison St (Stop No. 18728),,Arvada County
-104.980784,39.576711,67,Mineral Ave & S Logan Dr,S,90,Littleton,80122,SW,E Mineral Av,S Logan Dr,Mineral Ave & S Logan Dr (Stop No. 18851),,Littleton County
-104.996538,39.87216,8,Huron St & W 96th Pl {1110},N,80,Thornton,80260,NE,Huron St,W 96th Pl,Huron St & W 96th Pl {1110} (Stop No. 14427),,Thornton County
-104.8294883,39.74723946,FF,Fitzsimons Pkwy & Montview Blvd,S,110,Aurora,80010,SW,Fitzsimons Pkwy,E Montview Blvd,Fitzsimons Pkwy & Montview Blvd (Stop No. 33614),,Aurora County
-104.9925887,39.54957443,"401, 402L, 403",Highlands Ranch Pkwy & S Broadway,W,150,Highlands Ranch,80129,NW,Highlands Ranch Pkwy,Broadway,Highlands Ranch Pkwy & S Broadway (Stop No. 24997),,Highlands Ranch County
-104.835647,39.590283,153,6900 Block S Tucson Way,NW,75,Englewood,80112,N,S Tucson Wy,E Fremont Pl,6900 Block S Tucson Way (Stop No. 24277),,Englewood County
-105.034464,39.826506,72,Lowell Blvd & W 72nd Ave,S,200,Westminster,80030,SW,Lowell Blvd,W 72nd Av,Lowell Blvd & W 72nd Ave (Stop No. 24289),,Westminster County
-104.791304,39.639078,"169, 139, 169L",S Buckley Rd & Quincy Ave,N,75,Aurora,80013,NE,S Buckley Rd,E Quincy Ave,S Buckley Rd & Quincy Ave (Stop No. 22227),,Aurora County
-104.775659,39.679584,131,Evans Ave & Asbury Dr,E,65,Aurora,80013,SE,E Evans Av,E Asbury Dr,Evans Ave & Asbury Dr (Stop No. 23807),,Aurora County
-105.081598,39.790418,76,Wadsworth Blvd & W 52nd Ave,S,150,Arvada,80002,SW,Wadsworth Blvd,W 52nd Av,Wadsworth Blvd & W 52nd Ave (Stop No. 16976),,Arvada County
-105.127858,39.729049,100,W 8th Ave & Simms St,E,125,Lakewood,80215,SE,W 8th Av,Simms St,W 8th Ave & Simms St (Stop No. 11867),,Lakewood County
-105.1639113,39.81232598,125,W 64th Ave & Indiana St,E,90,Arvada,80004,SE,W 64th Av,Indiana St,W 64th Ave & Indiana St (Stop No. 21854),,Arvada County
-104.9315739,39.79430221,40,5400 Block Dahlia St,N,1200,Commerce City,80022,,Dahlia St,E 52nd Ave,5400 Block Dahlia St (Stop No. 13220),,Commerce City County
-104.82426,39.778831,42,46th Ave & Andrews Dr,E,90,Denver,80239,SE,E 46th Av,Andrews Dr,46th Ave & Andrews Dr (Stop No. 18740),,Denver County
-104.9129305,39.80959967,88,Monaco St & 62nd Ave,S,90,Commerce City,80022,SW,Monaco St,E 62nd Ave,Monaco St & 62nd Ave (Stop No. 26086),,Commerce City County
-104.882843,39.885351,104L,104th Ave & Belle Creek Blvd,W,75,Commerce City,80640,NE,E 104th Ave,Belle Creek Blvd,104th Ave & Belle Creek Blvd (Stop No. 26093),,Commerce City County
-105.071297,39.616686,59,W Grant Ranch Blvd & W Dorado Dr W,E,90,Denver,80123,SE,W Grant Ranch Blvd,Dorado Dr,W Grant Ranch Blvd & W Dorado Dr W (Stop No. 25005),,Denver County
-105.020846,39.577965,401,W Mineral Ave & W Long Ave,SE,75,Littleton,80120,S,W Mineral Av,W Long Av W,W Mineral Ave & W Long Ave (Stop No. 17618),,Littleton County
-104.862226,39.67486,21,Iliff Ave & S Jamaica St,W,65,Aurora,80014,NW,E Iliff Av,S Jamaica St,Iliff Ave & S Jamaica St (Stop No. 14533),,Aurora County
-105.080648,39.667627,"30L, 30",W Yale Ave & S Wadsworth Blvd,E,150,Denver,80227,SE,W Yale Av,S Wadsworth Blvd,W Yale Ave & S Wadsworth Blvd (Stop No. 17366),,Denver County
-104.9747994,39.65391564,TRLY,S Corona St & Girard Ave,S,75,Englewood,80113,,S Folsom St N,S Boulder Creek St N,S Corona St & Girard Ave (Stop No. 41000),,Englewood County
-105.123817,39.93278785,FF,US 36 & Flatiron Station Gate D {1105},E,5,Broomfield,80020,S,Us Hwy 36 Ramp S,Flatiron Crossing Cir,US 36 & Flatiron Station Gate D {1105} (Stop No. 25331),,Broomfield County
-104.959248,39.696864,24,S University Blvd & Mississippi Ave,N,90,Denver,80209,NE,S University Blvd,E Mississippi Ave,S University Blvd & Mississippi Ave (Stop No. 16859),,Denver County
-105.177427,40.054814,205,Heatherwood Dr & Ashfield Ct,W,75,Gunbarrel,80301,NW,Heatherwood Dr,Ashfield Ct,Heatherwood Dr & Ashfield Ct (Stop No. 19393),,Gunbarrel County
-105.005893,39.852107,19,Pecos St & W 85th Ave {1110},N,50,Federal Heights,80260,NE,Pecos St,W 85th Av,Pecos St & W 85th Ave {1110} (Stop No. 20516),,Federal Heights County
-105.2035216,39.9861071,DASH,6400 Block South Boulder Rd,E,2625,Boulder,80303, ,South Boulder Rd,S Cherryvale Rd,6400 Block South Boulder Rd (Stop No. 33484),,Boulder County
-104.8734757,39.5377324,"483, 403",Park Meadows Dr & Lincoln Ave Nearside {1401},S,250,Lone Tree,80124,NW,Park Meadows Dr,Lincoln Ave,Park Meadows Dr & Lincoln Ave Nearside {1401} (Stop No. 25727),,Lone Tree County
-104.819332,39.742345,153,Sable Blvd & 16th Pl,N,10,Aurora,80011,SE,Sable Blvd,E 16th Pl,Sable Blvd & 16th Pl (Stop No. 18795),,Aurora County
-105.095821,39.877711,76,Wadsworth Pkwy & W 100th Ave,SE,75,Westminster,80021,NW,Wadsworth Pkwy,W 100th Av,Wadsworth Pkwy & W 100th Ave (Stop No. 14444),,Westminster County
-105.063075,39.827416,72,W 72nd Ave & Ingalls St,W,5,Westminster,80003,NW,W 72nd Av,Ingalls St,W 72nd Ave & Ingalls St (Stop No. 11665),,Westminster County
-104.8584053,39.91420601,120L,120th Ave & US 85,E,225,Commerce City,80640,SW,W 120th ,Hwy 85,120th Ave & US 85 (Stop No. 33630),,Commerce City County
-104.846722,39.711061,"3L, 3",Alameda Ave & S Peoria St,E,95,Aurora,80012,SE,E Alameda Av,S Peoria St,Alameda Ave & S Peoria St (Stop No. 12065),,Aurora County
-104.808315,39.696477,130,Mississippi Ave & S Chambers Rd,E,410,Aurora,80017,,E Mississippi Av,S Chambers Rd,Mississippi Ave & S Chambers Rd (Stop No. 15328),,Aurora County
-105.1552938,39.72482138,125,W 6th Ave S Service Rd & Deframe Ct,E,145,Lakewood,80401,SE,W 6th Av Service Rd,Deframe Ct,W 6th Ave S Service Rd & Deframe Ct (Stop No. 19606),,Lakewood County
-105.2136087,40.00005529,225,Baseline Rd & Cherryvale Rd,E,200,Boulder,80303,SW,Baseline Rd S,Cherry Vale Rd,Baseline Rd & Cherryvale Rd (Stop No. 22812),,Boulder County
-104.903328,39.682392,73,S Quebec St & Jewell Ave,N,60,Denver,80231,NE,S Quebec St,E Jewell Av,S Quebec St & Jewell Ave (Stop No. 25310),,Denver County
-104.941987,39.717898,46,1st Ave & Harrison St,W,105,Denver,80206,NW,E 1st Ave,Harrison St,1st Ave & Harrison St (Stop No. 10438),,Denver County
-105.052176,39.863415,92,W 92nd Ave & Sheridan Blvd,E,150,Westminster,80031,SE,W 92nd Av,Sheridan Blvd,W 92nd Ave & Sheridan Blvd (Stop No. 21013),,Westminster County
-105.025052,39.790638,31,Federal Blvd & W 52nd Ave,N,150,Denver,80221,SE,Federal Blvd,W 52nd Av,Federal Blvd & W 52nd Ave (Stop No. 13733),,Denver County
-105.025379,39.794487,31,Federal Blvd & W 54th Ave,S,75,Berkley,80221,SW,Federal Blvd,W 54th Av,Federal Blvd & W 54th Ave (Stop No. 13735),,Berkley County
-105.025445,39.798154,31,Federal Blvd & W 56th Ave,S,75,Berkley,80221,SW,Federal Blvd,W 56th Av,Federal Blvd & W 56th Ave (Stop No. 13737),,Berkley County
-105.025453,39.802971,31,Federal Blvd & W 58th Ave,S,75,Berkley,80221,SW,Federal Blvd,W 58th Av,Federal Blvd & W 58th Ave (Stop No. 13738),,Berkley County
-105.0126745,39.86358221,92,W 92nd Ave & Holiday Mall {1110},W,90,Federal Heights,80260,NW,W 92nd Av,Holiday Cir,W 92nd Ave & Holiday Mall {1110} (Stop No. 18322),,Federal Heights County
-104.771983,39.780921,"45, 169L",Tower Rd & 47th Ave,N,1056,Denver,80249, ,Tower Rd,E 45th Ave,Tower Rd & 47th Ave (Stop No. 23707),,Denver County
-105.001567,39.740236,"36L, 30L, 16, 16L",W Colfax Ave & Lipan St,W,75,Denver,80204,NW,W Colfax Av,Lipan St,W Colfax Ave & Lipan St (Stop No. 18982),,Denver County
-105.091208,39.625427,"76, 35",S Wadsworth Blvd & W Belleview Ave,S,100,Denver,80123,NW,S Wadsworth Blvd,W Belleview Av,S Wadsworth Blvd & W Belleview Ave (Stop No. 17027),,Denver County
-105.129903,39.58055,"99L, 77",W Ken Caryl Ave & W Chatfield Ave {1303},E,150,Ken Caryl,80127,SW,W Ken Caryl Av,W Chatfield Av,W Ken Caryl Ave & W Chatfield Ave {1303} (Stop No. 21496),,Ken Caryl County
-104.875007,39.652932,105,Hampden Ave & S Dayton St,E,163,Denver,80014,SE,E Hampden Av,S Dayton St,Hampden Ave & S Dayton St (Stop No. 14140),,Denver County
-104.889377,39.632215,73,Temple Dr & S Wabash St {1411},E,68,Denver,80237,SW,E Temple Dr,S Wabash St,Temple Dr & S Wabash St {1411} (Stop No. 20811),,Denver County
-105.0628074,39.91434513,120,W 120th Ave & Ash St {1104},W,65,Broomfield,80020,NW,W 120th Ave,Ash St,W 120th Ave & Ash St {1104} (Stop No. 26237),,Broomfield County
-104.7648876,39.66004254,133,S Ceylon Way & S Cathay Cir,S,75,Aurora,80013,SW,S Ceylon Way,S Cathay Cir,S Ceylon Way & S Cathay Cir (Stop No. 33469),,Aurora County
-104.8116236,39.98669012,520,Bridge St & S 9th Ave {1201},E,90,Brighton,80601,SE,Bridge St,S 9th Ave,Bridge St & S 9th Ave {1201} (Stop No. 20032),,Brighton County
-105.089322,39.618415,59,W Crestline Ave & S Wadsworth Blvd,W,500,Lakewood,80123,NE,W Crestline Ave,S Wadsworth Blvd,W Crestline Ave & S Wadsworth Blvd (Stop No. 25021),,Lakewood County
-104.771873,39.53545,483,Dransfeldt Rd & Lincoln Ave {1408},S,75,Parker,80134, ,N Dransfeldt Rd,Lincoln Ave,Dransfeldt Rd & Lincoln Ave {1408} (Stop No. 25741),,Parker County
-105.16283,39.945017,228,Rock Creek Pkwy & McCaslin Blvd {1101},E,90,Superior,80027,SE,Rock Creek Pkwy,Mc Caslin Blvd,Rock Creek Pkwy & McCaslin Blvd {1101} (Stop No. 25537),,Superior County
-104.791039,39.729878,"169, 169L",Airport Blvd & 8th Ave,N,60,Aurora,80011,NE,Airport Blvd,E 8th Ave,Airport Blvd & 8th Ave (Stop No. 23887),,Aurora County
-105.0239781,39.93482348,128,Westlake Dr & W 132nd Cir {1104},SW,125,Broomfield,80020,W,Westlake Dr,W 132nd Cir,Westlake Dr & W 132nd Cir {1104} (Stop No. 17250),,Broomfield County
-105.100237,39.690018,99,S Garrison St & W Florida Ave,N,190,Lakewood,80232,NE,S Garrison St,W Florida Av,S Garrison St & W Florida Ave (Stop No. 14044),,Lakewood County
-105.138027,39.807296,"52, 125",Ward Rd & W 61st Ave,S,6,Arvada,80004,SW,Ward Rd,W 61st Av,Ward Rd & W 61st Ave (Stop No. 17126),,Arvada County
-104.8462983,39.65791076,121,Nine Mile Station Gate G,SW,75,Aurora,80014, ,S Parker Rd,S Peoria St,Nine Mile Station Gate G (Stop No. 26197),,Aurora County
-105.2532345,40.00189469,BOND,30th St & Bixby Ave,S,175,Boulder,80303,SW,30th St,Bixby Ave,30th St & Bixby Ave (Stop No. 25419),,Boulder County
-105.0723649,39.74762934,20,W 20th Ave & Pierce St,W,45,Edgewater,80214,NW,W 20th Ave,Pierce St,W 20th Ave & Pierce St (Stop No. 33643),,Edgewater County
-104.8140091,39.92340084,120L,Adams County Pkwy & Valente Dr,N,125,Brighton,80601,NE,Adams County Parkway,Sable Blvd,Adams County Pkwy & Valente Dr (Stop No. 33628),,Brighton County
-104.998562,39.729147,1,Santa Fe Dr & W 8th Ave,N,65,Denver,80204,NE,Santa Fe Dr,W 8th Av,Santa Fe Dr & W 8th Ave (Stop No. 16421),,Denver County
-105.1606721,39.98672039,DASH,South Boulder Rd & Kennedy Ave {1102},E,200,Louisville,80027,SE,South Boulder Rd,Kennedy Av,South Boulder Rd & Kennedy Ave {1102} (Stop No. 17897),,Louisville County
-105.090768,39.841612,80,W 80th Ave & Carr Dr,E,105,Arvada,80005,SE,W 80th Av,Carr Dr,W 80th Ave & Carr Dr (Stop No. 11728),,Arvada County
-105.2031346,39.743558,"16, 16L",South Golden Rd & Sunset Dr {1109},E,50,Golden,80401,SW,S Golden Rd,Sunset Dr S,South Golden Rd & Sunset Dr {1109} (Stop No. 15724),,Golden County
-104.819264,39.722269,15L,Sable Blvd & 4th Ave,N,65,Aurora,80011,NE,Sable Blvd,E 4th Av,Sable Blvd & 4th Ave (Stop No. 16370),,Aurora County
-105.098164,40.191898,327,Collyer St & 19th Ave {1103},S,90,Longmont,80501,SW,Collyer St,19th Ave,Collyer St & 19th Ave {1103} (Stop No. 13032),,Longmont County
-105.133424,39.812823,72,W 64th Ave & Union St,W,100,Arvada,80004,NE,W 64th Av,Urban St,W 64th Ave & Union St (Stop No. 11506),,Arvada County
-105.223947,39.985757,DASH,South Boulder Rd & S 55th St,E,10,Boulder,80303,SW,S Boulder Rd,55th St,South Boulder Rd & S 55th St (Stop No. 21672),,Boulder County
-105.055185,39.790971,52,W 52nd Ave & Benton St,E,125,Denver,80212,SE,W 52nd Av,Benton St,W 52nd Ave & Benton St (Stop No. 21682),,Denver County
-105.052601,39.776631,44,W 44th Ave & Zenobia St,W,95,Denver,80212,NE,W 44th Ave,Sheridan Blvd,W 44th Ave & Zenobia St (Stop No. 24525),,Denver County
-104.818393,39.916857,"120L, 145X",Sable Blvd & 120th Ave,N,50,Brighton,80601,NE,Sable Blvd,E 120th Ave,Sable Blvd & 120th Ave (Stop No. 24530),,Brighton County
-105.119442,39.597797,59,W Coal Mine Ave & W Peakview Dr,W,75,Littleton,80127,NW,W Coal Mine Av,W Peakview Dr,W Coal Mine Ave & W Peakview Dr (Stop No. 24571),,Littleton County
-105.020717,39.711242,"3, 4",W Alameda Ave & S Clay St,W,90,Denver,80219,NW,W Alameda Av,S Clay St,W Alameda Ave & S Clay St (Stop No. 11969),,Denver County
-104.930865,39.711145,"3L, 3",Alameda Ave & S Dahlia St,E,170,Denver,80246,SE,E Alameda Av,S Dahlia St,Alameda Ave & S Dahlia St (Stop No. 11976),,Denver County
-104.973752,39.71116,3,Alameda Ave & S Downing St,W,85,Denver,80209,NW,E Alameda Av,S Downing St,Alameda Ave & S Downing St (Stop No. 11982),,Denver County
-104.795764,39.772928,"42, 121",40th Ave & Airport Way,W,35,Denver,80239,NE,E 40th Av,Airport Wy,40th Ave & Airport Way (Stop No. 24701),,Denver County
-105.110374,39.590925,99L,S Kipling St & Meadows Dr {1303},S,75,Ken Caryl,80127,SW,S Kipling St,Meadows Dr,S Kipling St & Meadows Dr {1303} (Stop No. 21153),,Ken Caryl County
-104.992203,39.848909,"8, 80",W 84th Ave & Elati St {1110},E,65,Sherrelwood,80221,SE,W 84th Av,Elati St,W 84th Ave & Elati St {1110} (Stop No. 21160),,Sherrelwood County
-104.803315,39.719885,157,Centretech Pkwy & 1st Ave,SE,75,Aurora,80011,SE,E Centretech Pkwy,E 1st Av,Centretech Pkwy & 1st Ave (Stop No. 21178),,Aurora County
-104.8471701,39.71883527,121,Peoria St & 2nd Ave,N,125,Aurora,80011,NE,Peoria St,E 2nd Av,Peoria St & 2nd Ave (Stop No. 15899),,Aurora County
-104.847056,39.758695,121,Peoria St & 30th Ave,S,175,Aurora,80010,SW,Peoria St,E 30th Av,Peoria St & 30th Ave (Stop No. 15901),,Aurora County
-105.051146,39.609588,59,W Bowles Ave & S Coventry Ln {1303},E,75,Littleton,80123,SE,W Bowles Av,S Coventry Ln W,W Bowles Ave & S Coventry Ln {1303} (Stop No. 12406),,Littleton County
-105.1153,39.812697,72,Ralston Rd & Miller St,NW,264,Arvada,80004,NW,Ralston Rd,Miller St,Ralston Rd & Miller St (Stop No. 16273),,Arvada County
-104.903855,39.716735,73,Quebec St & Lowry Blvd,S,75,Denver,80230,SW,Quebec St,Lowry Dr,Quebec St & Lowry Blvd (Stop No. 25233),,Denver County
-104.993439,39.655719,"12, 0, 51, 35",S Elati St & Englewood Pkwy,N,275,Englewood,80110,NE,S Elati St,Englewood Pkwy,S Elati St & Englewood Pkwy (Stop No. 13514),,Englewood County
-105.156525,39.758126,28,Eldridge St & Braun Rd,N,25,Applewood,80401,SE,Eldridge St,Braun Rd,Eldridge St & Braun Rd (Stop No. 13517),,Applewood County
-104.997117,39.849114,80,W 84th Ave & Huron St {1110},W,115,Federal Heights,80260,NW,W 84th Av,Huron St,W 84th Ave & Huron St {1110} (Stop No. 11786),,Federal Heights County
-105.039617,39.743911,20,W 17th Ave & Perry St,E,65,Denver,80204,SW,W 17th Av,Perry St,W 17th Ave & Perry St (Stop No. 10317),,Denver County
-104.909922,39.595119,66,Arapahoe Rd & Heritage Pl S  {1403},W,85,Centennial,80111,NW,E Arapahoe Rd,E Heritage Pl S,Arapahoe Rd & Heritage Pl S  {1403} (Stop No. 12270),,Centennial County
-104.919374,39.595153,66,Arapahoe Rd & Homestead Pkwy  {1403},W,50,Centennial,80111,NE,E Arapahoe Rd,Homestead Pkwy,Arapahoe Rd & Homestead Pkwy  {1403} (Stop No. 12275),,Centennial County
-104.880085,39.73275764,10,11th Ave & Boston St,E,5,Aurora,80230,SW,E 11th Ave,Boston St,11th Ave & Boston St (Stop No. 10100),,Aurora County
-104.870217,39.732905,10,11th Ave & Galena St,W,85,Aurora,80010,NW,E 11th Ave,Galena St,11th Ave & Galena St (Stop No. 10108),,Aurora County
-104.869976,39.732805,10,11th Ave & Galena St,E,20,Aurora,80010,SW,E 11th Ave,Galena St,11th Ave & Galena St (Stop No. 10109),,Aurora County
-105.035827,39.615178,"36L, 36",5600 Block S Lowell Blvd,S,460,Littleton,80123, ,S Lowell Blvd,W Berry Av,5600 Block S Lowell Blvd (Stop No. 15089),,Littleton County
-104.977568,39.891125,12,Washington St & Garland Dr {1203},N,115,Northglenn,80233,NE,Washington St,Garland Dr,Washington St & Garland Dr {1203} (Stop No. 17218),,Northglenn County
-104.940533,39.733631,"10, 40",Colorado Blvd & 11th Ave,N,30,Denver,80220,SE,Colorado Blvd,E 11th Ave,Colorado Blvd & 11th Ave (Stop No. 13049),,Denver County
-104.940463,39.754909,40,Colorado Blvd & 26th Ave,N,65,Denver,80207,NE,Colorado Blvd,E 26th Ave,Colorado Blvd & 26th Ave (Stop No. 13059),,Denver County
-104.912866,39.758108,65,Monaco Pkwy & 29th Ave,S,75,Denver,80207,SW,Monaco Pkwy W,E 29th Av,Monaco Pkwy & 29th Ave (Stop No. 15507),,Denver County
-104.7705248,39.64453064,139,3900 Block S Reservoir Rd,N,45,Aurora,80013, ,S Reservoir Rd,S Andes Wy,3900 Block S Reservoir Rd (Stop No. 16300),,Aurora County
-104.99831,39.59158,67,W Ridge Rd & S Elati St,W,140,Littleton,80120,NW,W Ridge Rd,S Elati St,W Ridge Rd & S Elati St (Stop No. 16311),,Littleton County
-105.069056,39.738444,9,W 14th Ave & Newland St,E,140,Lakewood,80214,SE,W 14th Av,Newland St,W 14th Ave & Newland St (Stop No. 10236),,Lakewood County
-105.010929,39.757844,"28, 44, 32",15th St & Central St,NW,105,Denver,80211,NE,15th St,Central St,15th St & Central St (Stop No. 10254),,Denver County
-105.0100983,39.75885203,"44, 32",16th St & Boulder St,E,150,Denver,80211,SW,16th St,Boulder St,16th St & Boulder St (Stop No. 10273),,Denver County
-104.977204,39.743193,20,17th Ave & Clarkson St,E,70,Denver,80218,SE,E 17th Ave,Clarkson St,17th Ave & Clarkson St (Stop No. 10280),,Denver County
-104.963524,39.856079,"92, 80",88th Ave & Hoffman Way {1203},E,5,Welby,80229,SW,E 88th Av,Hoffman Wy,88th Ave & Hoffman Way {1203} (Stop No. 11817),,Welby County
-105.235313,40.050452,BOLT,Hwy 119 & Jay Rd,SW,75,Boulder,80301,NW,Hwy 119,Jay Rd,Hwy 119 & Jay Rd (Stop No. 18011),,Boulder County
-105.0806848,39.71083053,"11, 14, 87L",W Alameda Ave & S Wadsworth Blvd,E,210,Lakewood,80226,SE,W Alameda Av,S Wadsworth Blvd,W Alameda Ave & S Wadsworth Blvd (Stop No. 12109),,Lakewood County
-104.832668,39.711278,"3L, 3",Alameda Ave & S Xapary St,W,60,Aurora,80012,NW,E Alameda Av,S Xapary St,Alameda Ave & S Xapary St (Stop No. 12114),,Aurora County
-105.229822,39.996292,206,Manhattan Dr & Santa Clara Pl,N,50,Boulder,80303,NE,Manhattan Dr,Santa Clara Pl,Manhattan Dr & Santa Clara Pl (Stop No. 20068),,Boulder County
-105.282267,40.080087,Y,US 36 & Longhorn Rd,S,50,Boulder,80302,NW,Us Hwy 36,Longhorn Rd,US 36 & Longhorn Rd (Stop No. 20086),,Boulder County
-104.991142,39.613128,66,W Littleton Blvd & S Cherokee St,E,90,Littleton,80120,SE,W Littleton Blvd,S Cherokee St,W Littleton Blvd & S Cherokee St (Stop No. 15002),,Littleton County
-105.081332,39.82778802,76,Wadsworth Blvd & W 72nd Ave,N,120,Arvada,80003,NE,Wadsworth Blvd,W 72nd Ave,Wadsworth Blvd & W 72nd Ave (Stop No. 17000),,Arvada County
-105.081849,39.834685,76,Wadsworth Blvd & W 76th Ave,S,75,Arvada,80005,SW,Wadsworth Blvd,W 76th Av,Wadsworth Blvd & W 76th Ave (Stop No. 17007),,Arvada County
-105.000485,39.647816,51,S Kalamath St & W Lehigh Ave,N,55,Englewood,80110,NE,S Kalamath St,W Lehigh Av,S Kalamath St & W Lehigh Ave (Stop No. 21448),,Englewood County
-104.809853,39.713244,"153, 157",S Chambers Rd & Evanston Way,N,600,Aurora,80017,SE,S Chambers Rd,Evanston Wy,S Chambers Rd & Evanston Way (Stop No. 21458),,Aurora County
-104.91286,39.817917,88,Monaco St & 67th Ave,S,125,Commerce City,80022,SW,Monaco St,E 67th Av,Monaco St & 67th Ave (Stop No. 15489),,Commerce City County
-105.047719,39.733125,9,W 10th Ave & Winona Ct,W,60,Denver,80204,NW,W 10th Av,Winona Ct,W 10th Ave & Winona Ct (Stop No. 10081),,Denver County
-104.866084,39.725264,105,Havana St & 6th Ave,S,65,Aurora,80010,SW,Havana St,E 6th Av,Havana St & 6th Ave (Stop No. 14249),,Aurora County
-104.9972053,39.85639482,92,W 88th Ave & Huron St {1110},W,75,Thornton,80260,NW,W 88th Av,Huron St,W 88th Ave & Huron St {1110} (Stop No. 20762),,Thornton County
-105.062932,39.862857,92,Harlan St & W 92nd Ave,S,150,Westminster,80031,SW,Harlan St,W 92nd Av,Harlan St & W 92nd Ave (Stop No. 20764),,Westminster County
-105.053335,39.675494,51,S Sheridan Blvd & W Warren Ave,S,125,Denver,80227,SW,S Sheridan Blvd,W Warren Av,S Sheridan Blvd & W Warren Ave (Stop No. 16581),,Denver County
-105.034698,39.678651,21,W Evans Ave & S Lowell Blvd,W,75,Denver,80219,NW,W Evans Av,S Lowell Blvd,W Evans Ave & S Lowell Blvd (Stop No. 13604),,Denver County
-104.8194063,39.68139717,21,S Sable Blvd & Jewell Ave,S,180,Aurora,80014,SW,S Sable Blvd,E Jewell Ave,S Sable Blvd & Jewell Ave (Stop No. 16396),,Aurora County
-104.819177,39.693339,21,S Sable Blvd & Arkansas Dr,N,200,Aurora,80012,NE,S Sable Blvd,E Arkansas Dr,S Sable Blvd & Arkansas Dr (Stop No. 16400),,Aurora County
-104.819374,39.697685,21,S Sable Blvd & Tennessee Ave,S,78,Aurora,80012,SW,S Sable Blvd,E Tennessee Av,S Sable Blvd & Tennessee Ave (Stop No. 16408),,Aurora County
-104.8894996,39.68272366,83,1900 Block S Quebec Way,SE,1055,Denver,80231, ,S Quebec Wy,E Colorado Av,1900 Block S Quebec Way (Stop No. 19492),,Denver County
-105.0719067,39.90638805,120,Main St & W 116th Ave {1104},S,75,Broomfield,80020,SW,Pierce St,W 116th Av,Main St & W 116th Ave {1104} (Stop No. 19561),,Broomfield County
-105.013654,39.827365,72,W 72nd Ave & Ruth Way,W,88,Twin Lakes,80221,NW,W 72nd Av,Ruth Wy,W 72nd Ave & Ruth Way (Stop No. 11690),,Twin Lakes County
-105.044884,39.827355,72,W 72nd Ave & Utica St,W,77,Westminster,80030,NW,W 72nd Av,Utica St,W 72nd Ave & Utica St (Stop No. 11698),,Westminster County
-105.02126,39.703855,11,W Exposition Ave & S Dale Ct,E,75,Denver,80219,SE,W Exposition Av,S Dale Ct,W Exposition Ave & S Dale Ct (Stop No. 13655),,Denver County
