LNG,LAT,ROUTES,STOPNAME,DIR,AMENITIES,DISTANCE_FROM_STREET,DISTRICT,CITY,POSTAL,COUNTY,TEAMBOUNDARY,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID
-104.996537,39.889332,8,Huron St & W 106th Ave {1110},N,,300,J,Northglenn,80234,Adams,North,NE,Huron St,W 106th Av,Huron St & W 106th Ave {1110} (Stop No. 23383)
-104.971942,39.864349,93L,Eppinger Blvd & Hoffman Way {1203},NE,,75,K,Thornton,80229,Adams,North,NE,Eppinger Blvd,Hoffman Wy,Eppinger Blvd & Hoffman Way {1203} (Stop No. 23186)
-104.970508,39.543374,402L,Highlands Ranch Pkwy & S Ranch Rd,E,,75,H,Highlands Ranch,80126,Douglas,West,SE,Highlands Ranch Pkwy,S Ranch Rd,Highlands Ranch Pkwy & S Ranch Rd (Stop No. 24953)
-104.805468,39.534393,"P, 483",Lincoln Ave & Stonegate Pkwy,SE,,115,G,Stonegate,80134,Douglas,East,SE,Lincoln Av,Stonegate Pkwy,Lincoln Ave & Stonegate Pkwy (Stop No. 21814)
-104.94042,39.767293,40,Colorado Blvd & 36th Ave,N,B,75,B,Denver,80207,Denver,East,NE,Colorado Blvd,E 36th Ave,Colorado Blvd & 36th Ave (Stop No. 13065)
-104.94048,39.666045,40,S Colorado Blvd & Amherst Ave,N,B,100,A,Denver,80222,Denver,East,NE,S Colorado Blvd,E Amherst Av,S Colorado Blvd & Amherst Ave (Stop No. 13085)
-104.912408,39.652974,"105, 46, 35",Hampden Ave & S Monaco Pkwy,E,B,114,A,Denver,80237,Denver,East,SE,E Hampden Av,S Monaco St,Hampden Ave & S Monaco Pkwy (Stop No. 14163)
-105.1098203,39.7707352,100,Kipling St & W 39th Ave,S,B,85,L,Wheat Ridge,80033,Jefferson,West,SW,Kipling St,W 39th Av,Kipling St & W 39th Ave (Stop No. 20373)
-104.847262,39.69261,121,S Peoria St & Louisiana Ave,S,B,65,E,Aurora,80012,Arapahoe,East,SW,S Peoria St,E Louisiana Av,S Peoria St & Louisiana Ave (Stop No. 15940)
-105.020173,39.827208,72,W 72nd Ave & Clay St,E,B,85,C,Westminster,80030,Adams,North,SE,W 72nd Av,Clay St,W 72nd Ave & Clay St (Stop No. 11652)
-104.934695,39.82731,"88, 49, 88L",72nd Ave & Clermont St,W,,75,K,Commerce City,80022,Adams,North,NE,E 72nd Av,Clermont St,72nd Ave & Clermont St (Stop No. 11654)
-105.02077,39.761972,32,W 32nd Ave & Clay St,E,,40,C,Denver,80211,Denver,West,SW,W 32nd Av,Clay St,W 32nd Ave & Clay St (Stop No. 10871)
-104.858114,39.663447,83,S Parker Rd & S Lansing Way,NW,,65,E,Aurora,80014,Arapahoe,East,N,Parker Rd,S Lansing Wy,S Parker Rd & S Lansing Way (Stop No. 19910)
-105.142089,39.739752,"16, GS, 16L",W Colfax Ave & Youngfield St,W,B,300,M,Lakewood,80215,Jefferson,West,NE,W Colfax Av,Youngfield St E,W Colfax Ave & Youngfield St (Stop No. 13023)
-105.263297,39.999344,"DASH, FF, GS, AB, SKIP",Broadway & Baseline Rd,SE,14,250,O,Boulder,80302,Boulder,North,SW,Broadway,Baseline Rd,Broadway & Baseline Rd (Stop No. 12478)
-104.790091,39.70022,133,Kentucky Ave & S Buckley Rd,E,,150,F,Aurora,80017,Arapahoe,East,SE,E Kentucky Av,S Buckley Rd,Kentucky Ave & S Buckley Rd (Stop No. 21828)
-105.1143621,39.80170269,52,W 58th Ave & Miller St,E,"B, PW",5,L,Arvada,80002,Jefferson,West,SW,W 58th Av,Miller St,W 58th Ave & Miller St (Stop No. 11436)
-105.100207,39.687886,99,S Garrison St & W Iowa Ave,N,B,95,M,Lakewood,80232,Jefferson,West,NE,S Garrison St,W Iowa Av,S Garrison St & W Iowa Ave (Stop No. 14046)
-104.929761,39.725652,6,6th Ave & Elm St,W,P,75,A,Denver,80220,Denver,East,NW,E 6th Av N,Elm St,6th Ave & Elm St (Stop No. 11542)
-104.8995522,39.73282097,10,11th Ave & Rosemary St,E,B,50,E,Denver,80230,Denver,East,SE,E 11th Ave,Rosemary St,11th Ave & Rosemary St (Stop No. 10142)
-105.1105,39.778209,44,W 44th Ave & Kipling St,W,"B, 13",200,L,Wheat Ridge,80033,Jefferson,West,NW,W 44th Av,Kipling St,W 44th Ave & Kipling St (Stop No. 11154)
-104.882674,39.689378,83,Florida Ave & S Alton St,W,B,90,E,Denver,80247,Arapahoe,East,NW,E Florida Ave,S Alton St,Florida Ave & S Alton St (Stop No. 21248)
-104.79158,39.641078,"169, 139, 169L",S Buckley Rd & Princeton Dr,S,,120,F,Aurora,80013,Arapahoe,East,NW,S Buckley Rd,E Princeton Dr,S Buckley Rd & Princeton Dr (Stop No. 12648)
-104.8912867,39.770005,88,Central Park Station Gate D1,N,,5,B,Denver,80207,Denver,East,,Central Park Station,Gate D1,Central Park Station Gate D1 (Stop No. 34491)
-105.014009,39.696673,14,W Mississippi Ave & S Vallejo St,E,,25,D,Denver,80223,Denver,West,SW,W Mississippi Av,S Vallejo St,W Mississippi Ave & S Vallejo St (Stop No. 15469)
-105.0381623,39.70750545,4,Morrison Rd & S Osceola St,W,,225,C,Denver,80219,Denver,West,NW,Morrison Rd,W Virginia Av,Morrison Rd & S Osceola St (Stop No. 25867)
-104.912863,39.72572517,65,Monaco Pkwy & 6th Ave,S,B,5,A,Denver,80220,Denver,East,SW,Monaco Pkwy W,E 6th Av S,Monaco Pkwy & 6th Ave (Stop No. 15511)
-104.884666,39.65058,73,S Yosemite St & Jefferson Ave,N,,10,E,Denver,80237,Denver,East,SE,S Yosemite St,E Jefferson Av,S Yosemite St & Jefferson Ave (Stop No. 25250)
-105.188435,40.07284,205,Lookout Rd & N 71st St,W,"3, B, 14",75,O,Boulder,80301,Boulder,North,NW,Lookout Rd,N 71st,Lookout Rd & N 71st St (Stop No. 15040)
-105.147075,39.930259,228,Rock Creek Pkwy & Coalton Rd {1101},N,,300,L,Superior,80027,Boulder,North,NE,Rock Creek Pkwy,Coalton Rd,Rock Creek Pkwy & Coalton Rd {1101} (Stop No. 25041)
-104.9940804,39.74837854,"28, 44, 43, 10, 32, 38",17th St & Arapahoe St [ Y Stop ],SE,,200,A,Denver,80202,Denver,West,SW,17th St,Arapahoe St,17th St & Arapahoe St [ Y Stop ] (Stop No. 17716)
-104.876196,39.654363,35,Girard Ave & S Dayton St,W,,136,E,Denver,80231,Denver,East,NW,E Girard Av,S Dayton St,Girard Ave & S Dayton St (Stop No. 20329)
-104.846891,39.786893,121,Peoria St & Andrews Dr,N,"3, 8, B",125,B,Denver,80239,Denver,East,NE,Peoria St,Andrews Dr,Peoria St & Andrews Dr (Stop No. 24117)
-104.865287,39.747322,20,Montview Blvd & Havana St,E,B,125,B,Aurora,80010,Adams,East,SE,Montview Blvd,Havana St,Montview Blvd & Havana St (Stop No. 15584)
-104.865769,39.686222,105,S Havana St & Mexico Ave,N,B,80,E,Aurora,80012,Arapahoe,East,NE,S Havana St,E Mexico Av,S Havana St & Mexico Ave (Stop No. 14276)
-104.866072,39.685141,105,S Havana St & Mexico Ave,S,35,75,E,Aurora,80247,Arapahoe,East,SW,S Havana St,E Mexico Av,S Havana St & Mexico Ave (Stop No. 14277)
-105.032615,39.762189,32,W 32nd Ave & Julian St,W,B,80,C,Denver,80211,Denver,West,NW,W 32nd Av,Julian St,W 32nd Ave & Julian St (Stop No. 10892)
